longitude,Has Parking,Cancellation Policy,Has Hot Tub,city,bedrooms,AirDNA Market,adr,Pets Allowed,Occupancy Rate LTM,Max Guests,Listing Type,Host Type,Has Pool,Created Date,bathrooms,Overall Rating,Minimum Stay,Cleaning Fee,Price Tier,Has Kitchen,Number of Reviews,Number of Photos,Number of Bookings LTM,latitude,zipcode
-116.312,True,super strict,False,Joshua Tree,3.0,"JOSHUA TREE, CA",487.4,True,0.491803,6.0,Entire home/apt,21+ Units,False,2023-05-06,2.5,90.0,2.0,207.0,upscale,True,2.0,44.0,16.0,34.09614,92252
-116.47745,True,strict,True,Cathedral City,1.0,"COACHELLA VALLEY, CA",134.49,False,0.632075,2.0,Private room,6-20 Units,True,2015-10-08,1.0,100.0,3.0,50.0,economy,False,29.0,19.0,20.0,33.76172,92234
-116.29707,True,moderate,True,Joshua Tree,3.0,"JOSHUA TREE, CA",417.14,True,0.851852,8.0,Entire home/apt,1 Unit,False,2023-05-10,2.0,99.0,1.0,300.0,midscale,True,27.0,69.0,30.0,34.17775,92252
-116.4344724619,True,strict,False,Yucca Valley,1.0,"JOSHUA TREE, CA",183.85,True,0.67474,2.0,Entire home/apt,6-20 Units,True,2022-10-16,1.0,97.0,2.0,109.0,economy,True,43.0,70.0,77.0,34.2237700028,92284
-116.47029,True,moderate,True,Cathedral City,3.0,"COACHELLA VALLEY, CA",457.0,True,0.526316,6.0,Entire home/apt,2-5 Units,True,2020-10-26,3.0,97.0,30.0,300.0,upscale,True,6.0,5.0,1.0,33.83647,92234
-116.5323922,True,strict,False,Desert Hot Springs,3.0,"COACHELLA VALLEY, CA",116.22,False,1.0,6.0,Entire home/apt,1 Unit,True,2023-01-06,3.0,100.0,7.0,0.0,budget,True,10.0,27.0,7.0,33.9762939,92240
-116.30615,True,moderate,True,Palm Desert,1.0,"COACHELLA VALLEY, CA",198.54,True,0.529412,2.0,Entire home/apt,1 Unit,True,2020-11-01,1.0,91.285714,14.0,225.0,budget,True,7.0,26.0,32.0,33.73898,92211
-116.41529,True,flexible,True,Yucca Valley,3.0,"JOSHUA TREE, CA",359.67,True,0.142857,8.0,Entire home/apt,21+ Units,False,2023-05-29,2.0,90.0,2.0,299.0,economy,True,4.0,77.0,3.0,34.13656,92284
-116.64425,True,moderate,True,Whitewater,1.0,"COACHELLA VALLEY, CA",209.51,False,0.322344,2.0,Private room,6-20 Units,False,2013-01-07,1.0,100.0,1.0,20.0,midscale,False,100.0,20.0,24.0,33.93955,92282
-116.3138,True,flexible,True,Joshua Tree,2.0,"JOSHUA TREE, CA",221.69,True,0.2,6.0,Entire home/apt,21+ Units,False,2023-04-28,1.0,100.0,2.0,235.0,budget,True,2.0,53.0,7.0,34.14205,92252
-116.4906,False,flexible,True,Cathedral City,1.0,"COACHELLA VALLEY, CA",70.08,False,0.715827,2.0,Private room,2-5 Units,True,2022-10-16,1.0,98.0,1.0,0.0,budget,False,30.0,10.0,66.0,33.82836,92234
-116.4061,True,strict,False,Yucca Valley,4.0,"JOSHUA TREE, CA",466.41,True,0.288809,12.0,Entire home/apt,1 Unit,False,2022-10-23,3.0,99.029412,1.0,280.0,midscale,True,34.0,56.0,44.0,34.1126,92284
-116.3109893799,True,strict,False,Joshua Tree,2.0,"JOSHUA TREE, CA",192.68,True,0.794521,3.0,Entire home/apt,6-20 Units,True,2018-07-28,1.0,98.0,1.0,129.0,economy,True,455.0,115.0,128.0,34.1335716248,92252
-116.48647,True,strict,True,Yucca Valley,4.0,"JOSHUA TREE, CA",328.0,False,0.1,8.0,Entire home/apt,21+ Units,False,2023-05-04,3.0,100.0,2.0,250.0,economy,True,1.0,37.0,1.0,34.11586,92284
-116.4975,True,strict,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",51.0,False,0.15625,1.0,Private room,21+ Units,False,2023-05-19,1.0,60.0,1.0,0.0,budget,True,1.0,22.0,1.0,33.92924,92240
-116.29745,True,strict,False,Palm Desert,2.0,"COACHELLA VALLEY, CA",306.73,False,0.298851,2.0,Entire home/apt,1 Unit,True,2022-11-07,2.0,100.0,30.0,350.0,economy,True,3.0,31.0,11.0,33.76594,92211
-116.3155,True,strict,True,Joshua Tree,1.0,"JOSHUA TREE, CA",199.89,True,0.506849,4.0,Entire home/apt,1 Unit,True,2023-05-04,1.0,100.0,1.0,75.0,midscale,True,13.0,18.0,27.0,34.13446,92252
-116.4981483,True,moderate,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",53.28,True,0.533333,2.0,Private room,2-5 Units,False,2023-05-17,1.0,100.0,1.0,25.0,budget,True,2.0,59.0,9.0,33.971745,92240
-116.29874,True,strict,True,Joshua Tree,5.0,"JOSHUA TREE, CA",707.85,True,0.852459,14.0,Entire home/apt,21+ Units,True,2023-02-28,2.0,100.0,2.0,255.0,economy,True,1.0,71.0,21.0,34.14865,92252
-116.3468,True,flexible,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",281.13,False,0.140351,4.0,Entire home/apt,1 Unit,True,2022-05-15,2.0,100.0,2.0,150.0,economy,True,5.0,8.0,8.0,33.76838,92211
-116.45074,True,strict,True,Cathedral City,2.0,"COACHELLA VALLEY, CA",232.71,True,0.7,5.0,Entire home/apt,1 Unit,True,2021-04-25,2.0,100.0,30.0,150.0,economy,True,7.0,35.0,2.0,33.7873,92234
-116.38846,True,strict,True,Yucca Valley,3.0,"JOSHUA TREE, CA",294.21,False,0.267081,6.0,Entire home/apt,21+ Units,False,2020-11-05,2.5,98.113208,2.0,135.0,midscale,True,53.0,28.0,17.0,34.10318,92284
-116.23767,True,strict,False,Joshua Tree,2.0,"JOSHUA TREE, CA",150.51,False,0.531746,4.0,Entire home/apt,21+ Units,False,2022-11-12,1.0,93.7,2.0,111.0,budget,True,10.0,25.0,23.0,34.24282,92252
-116.30724,True,super strict,True,Palm Desert,6.0,"COACHELLA VALLEY, CA",2838.44,True,0.438746,16.0,Entire home/apt,21+ Units,True,2019-02-25,4.5,99.0,1.0,675.0,luxury,True,74.0,69.0,51.0,33.73627,92211
-116.5145568,True,strict,True,Pioneertown,2.0,"JOSHUA TREE, CA",383.98,True,0.827586,6.0,Entire home/apt,2-5 Units,True,2023-06-02,2.5,100.0,2.0,200.0,luxury,True,2.0,79.0,12.0,34.1948968,92268
-116.32195,True,strict,True,Joshua Tree,3.0,"JOSHUA TREE, CA",234.34,True,0.490411,8.0,Entire home/apt,21+ Units,False,2022-05-07,1.0,90.0,1.0,140.0,budget,True,107.0,48.0,111.0,34.12868,92252
-116.34646,True,strict,False,Joshua Tree,1.0,"JOSHUA TREE, CA",215.45,False,0.980645,2.0,Entire home/apt,1 Unit,False,2023-01-16,1.0,98.0,1.0,125.0,midscale,True,72.0,23.0,67.0,34.20039,92252
-116.35042,True,strict,True,Palm Desert,3.0,"COACHELLA VALLEY, CA",364.91,True,0.211009,6.0,Entire home/apt,2-5 Units,True,2021-04-02,2.5,100.0,1.0,200.0,economy,True,55.0,29.0,9.0,33.76776,92211
-116.38621,True,strict,True,Thousand Palms,2.0,"COACHELLA VALLEY, CA",85.0,True,0.163636,4.0,Entire home/apt,2-5 Units,True,2022-08-21,2.0,100.0,30.0,0.0,budget,True,2.0,17.0,6.0,33.81008,92276
-116.30408,True,strict,True,Palm Desert,1.0,"COACHELLA VALLEY, CA",200.8,False,0.59901,4.0,Entire home/apt,1 Unit,True,2020-11-27,1.0,94.0,28.0,65.0,economy,True,57.0,26.0,33.0,33.75133,92211
-116.59826,True,strict,False,Morongo Valley,1.0,"JOSHUA TREE, CA",160.1,True,0.543103,2.0,Entire home/apt,2-5 Units,True,2023-03-28,1.0,93.0,2.0,100.0,economy,False,3.0,47.0,20.0,34.04913,92256
-116.43624,True,strict,True,Landers,3.0,"JOSHUA TREE, CA",332.19,True,0.29661,7.0,Entire home/apt,1 Unit,False,2022-06-03,2.0,99.058824,2.0,175.0,midscale,True,17.0,39.0,24.0,34.32451,92285
-116.32465,True,strict,True,Joshua Tree,3.0,"JOSHUA TREE, CA",296.17,False,0.095238,8.0,Entire home/apt,2-5 Units,False,2023-05-24,2.0,100.0,2.0,185.0,economy,True,2.0,55.0,3.0,34.1182,92252
-116.5690861847,True,strict,True,Morongo Valley,2.0,"JOSHUA TREE, CA",355.58,True,0.176471,8.0,Entire home/apt,1 Unit,True,2022-11-25,2.0,100.0,2.0,175.0,luxury,True,4.0,31.0,6.0,34.0615824459,92256
-116.4832,True,strict,True,Desert Hot Springs,4.0,"COACHELLA VALLEY, CA",431.89,True,0.669725,13.0,Entire home/apt,2-5 Units,True,2023-04-11,2.5,100.0,2.0,200.0,budget,True,17.0,49.0,32.0,33.91208,92241
-116.41573,True,flexible,True,Yucca Valley,3.0,"JOSHUA TREE, CA",247.91,True,0.406375,6.0,Entire home/apt,1 Unit,False,2022-09-01,2.0,98.0,2.0,170.0,economy,True,38.0,41.0,46.0,34.13018,92284
-116.47456,True,moderate,False,Desert Hot Springs,2.0,"COACHELLA VALLEY, CA",211.98,False,0.401899,6.0,Entire home/apt,6-20 Units,False,2018-09-18,2.0,95.785714,1.0,88.0,economy,True,210.0,42.0,53.0,33.95188,92240
-116.31435,True,strict,True,Joshua Tree,4.0,"JOSHUA TREE, CA",466.36,True,0.248276,8.0,Entire home/apt,6-20 Units,True,2018-09-27,3.0,100.0,1.0,150.0,midscale,True,64.0,40.0,34.0,34.10504,92252
-116.35436,True,flexible,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",250.88,False,0.4,6.0,Entire home/apt,2-5 Units,True,2023-05-28,2.5,100.0,2.0,145.0,economy,True,9.0,60.0,14.0,33.76791,92211
-116.31972,True,strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",185.53,False,0.469136,4.0,Entire home/apt,21+ Units,True,2023-01-20,1.5,90.8,2.0,157.0,budget,True,15.0,34.0,24.0,33.75119,92211
-116.51839,False,flexible,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",177.36,False,0.275,2.0,Private room,2-5 Units,False,2023-03-12,2.0,100.0,28.0,50.0,midscale,True,4.0,16.0,3.0,33.97135,92240
-116.36612,True,strict,True,Yucca Valley,2.0,"JOSHUA TREE, CA",300.05,False,0.38,6.0,Entire home/apt,1 Unit,True,2023-06-10,3.0,100.0,2.0,165.0,midscale,True,4.0,44.0,9.0,34.19331,92284
-116.44163,True,flexible,True,Rancho Mirage,3.0,"COACHELLA VALLEY, CA",300.0,True,1.0,6.0,Entire home/apt,2-5 Units,True,2022-12-07,2.5,100.0,28.0,300.0,budget,True,3.0,42.0,1.0,33.7759,92270
-116.384467,False,super strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",228.96,False,1.0,8.0,Entire home/apt,21+ Units,True,2023-06-17,2.0,100.0,2.0,132.0,economy,True,6.0,67.0,6.0,33.7823247,92211
